TT,Direction,Total Turns,Depth,Updated
TT1,E,69,2734,2017-09-13
TT2,E,77,3051,2017-09-13
TT3,E,76,3012,2017-09-13
TT4,N,50,1981,2017-09-13
TT5,N,74,2932,2017-09-13
TT6,N,82,3250,2017-09-13
TT7,N,68,2695,2017-09-13
TT8,S,56,2219,2017-09-13
TT9,N,52,2061,2017-09-13
TT10,W,58,2298,2017-09-13
TT11,E,78,3091,2017-09-13
TT12,E,62,2457,2017-09-13
R1,S,86,3408,2017-09-13
R2,S,38,1506,2017-09-13
