TT,Old Depth,Old Direction,Turns,New Direction,Total Turns,New Depth,Notes
TT1,2179,S,4,N,59,2338,nice cell
TT2,2457,S,2,SW,64,2536,nice cell
TT3,2259,NW,5,S,62,2457,nice cell
TT4,1823,S,0,S,46,1823,lot of fast spiking cells
TT5,2179,SW,3,N,58,2298,quiet
TT6,2536,W,4,E,68,2695,silent
TT7,2061,N,2,E,54,2140,quiet
TT8,1942,SW,0,SW,49,1942,couple of cells
TT9,1981,W,0,W,50,1981,bunch of cells
TT10,2140,E,0,E,54,2140,cell
TT11,2378,N,4,S,64,2536,cell with noise
TT12,1981,W,0,W,50,1981,cell
R1,2932,N,4,S,78,3091,
R2,1506,S,0,S,38,1506,
